rsq,pred,step
0.319242,mat,45
0.328519,aet,44
0.3299395,TP,43
0.3302103,TK,42
0.3327784,map,41
0.3325764,T_CEC_SOIL,40
0.3344743,ORGC,39
0.3349596,T_OC,38
0.3343989,jmax25,37
0.3347546,gti,36
0.3359138,T_CACO3,35
0.3366765,T_ECE,34
0.3364416,CNrt,33
0.3364768,mavgs,32
0.3373003,T_TEB,31
0.3388518,maigs,30
0.3377773,T_BULK_DENSITY,29
0.3389542,T_CEC_CLAY,28
0.3402341,T_SAND,27
0.3391434,matgs,26
0.3392502,T_ESP,25
0.3414064,T_PH_H2O,24
0.3415051,tmonthmax,23
0.3416144,TOTN,22
0.342538,ALSA,21
0.3435254,T_BS,20
0.3439228,T_SILT,19
0.345528,ndaysgs,18
0.3444053,T_CLAY,17
0.3456827,mav,16
0.3467149,T_GRAVEL,15
0.3452483,elv,14
0.3442905,mai,13
0.3451162,vcmax25,12
0.343615,cwdx80,11
0.3423707,mapgs,10
0.3425011,pmonthmin,9
0.3392867,AWC_CLASS,8
0.3375543,gs_accl,7
0.3350808,alpha,6
0.328178,PBR,5
0.3127623,co2,4
0.2923931,ai,3
0.2606516,tmonthmin,2
0.2449629,ndep,1
,,
