rsq,pred,step
0.32770955,matgs,45
0.32528997,T_BULK_DENSITY,44
0.32712473,ORGC,43
0.32885624,mat,42
0.32818021,T_TEB,41
0.32920523,AWC_CLASS,40
0.32980669,aet,39
0.32909697,T_GRAVEL,38
0.33041834,T_ECE,37
0.33061107,mavgs,36
0.33064141,tmonthmax,35
0.33150813,TOTN,34
0.33193324,TK,33
0.33255054,alpha,32
0.33260876,jmax25,31
0.33221513,gti,30
0.33237618,T_SILT,29
0.33444929,ALSA,28
0.33340829,T_ESP,27
0.33394672,T_CACO3,26
0.33446346,ndaysgs,25
0.33449229,T_PH_H2O,24
0.3362759,ai,23
0.33714929,T_BS,22
0.3362434,T_CEC_CLAY,21
0.33665464,mav,20
0.33859672,T_CLAY,19
0.33782522,T_CEC_SOIL,18
0.33899471,CNrt,17
0.33786295,gs_accl,16
0.33990615,pmonthmin,15
0.33974024,T_OC,14
0.3392089,vcmax25,13
0.33944719,maigs,12
0.33883888,PBR,11
0.33827617,T_SAND,10
0.34024772,map,9
0.33756325,ndep,8
0.33627389,cwdx80,7
0.33380991,elv,6
0.33130821,TP,5
0.3190933,tmonthmin,4
0.28615933,mai,3
0.22149396,mapgs,2
0.09970799,co2,1
,,
