log_leafN_sitemean,Species,log_leafN
1.248133805,Fagus sylvatica,1.394451681
1.248133805,Pinus nigra,1.089905111
1.248133805,Pinus nigra,1.089905111
1.248133805,Pinus sylvestris,1.152288344
1.248133805,Pinus sylvestris,1.152288344
1.248133805,Quercus faginea,1.298853076
1.248133805,Quercus faginea,1.298853076
1.248133805,Quercus ilex,1.235528447
1.248133805,Quercus ilex,1.235528447
1.248133805,Quercus robur,1.390935107
1.248133805,Quercus robur,1.390935107
1.339448271,Fraxinus excelsior,1.372912003
1.339448271,Acer platanoides,1.371621927
1.339448271,Acer pseudoplatanus,1.45377686
1.339448271,Alnus glutinosa,1.548757829
1.339448271,Calluna vulgaris,1.169380495
1.339448271,Castanea sativa,1.376029182
1.339448271,Corylus avellana,1.390228362
1.339448271,Crataegus monogyna,1.253095586
1.339448271,Empetrum nigrum,1.123198075
1.339448271,Fagus sylvatica,1.377852419
1.339448271,hippophae rhamnoides,1.483301952
1.339448271,Ilex aquifolium,1.206015877
1.339448271,Larix decidua,1.352761192
1.339448271,Picea sitchensis,1.115610512
1.339448271,Pinus sylvestris,1.223495941
1.339448271,Prunus spinosa,1.48187241
1.339448271,Quercus cerris,1.437274797
1.339448271,Quercus ilex,1.370142847
1.339448271,Quercus petraea,1.409595019
1.339448271,Quercus robur,1.457881897
1.339448271,Ribes uva-crispa,1.349860082
1.339448271,Rubus fruticosus,1.400883216
1.339448271,Salix caprea,1.431685345
1.339448271,Sambucus nigra,1.52179165
1.339448271,Sorbus aucuparia,1.402605242
1.339448271,Swida sanguinea,1.327358934
1.339448271,Taxus baccata,1.377670439
1.339448271,Vaccinium myrtillus,1.232487866
1.339448271,Vaccinium vitis-idaea,1.050379756
1.340489485,Fraxinus excelsior,1.428620673
1.340489485,Acer platanoides,1.371067862
1.340489485,Acer pseudoplatanus,1.45331834
1.340489485,Agrostis capillaris,1.367355921
1.340489485,Alnus glutinosa,1.549003262
1.340489485,Anthoxanthum odoratum,1.309630167
1.340489485,Betula pendula,1.439332694
1.340489485,Calluna vulgaris,1.170261715
1.340489485,Carex flacca,1.264817823
1.340489485,Castanea sativa,1.376576957
1.340489485,Corylus avellana,1.390935107
1.340489485,Crataegus monogyna,1.252853031
1.340489485,Dactylis glomerata,1.385606274
1.340489485,Deschampsia flexuosa,1.193124598
1.340489485,Empetrum nigrum,1.025305865
1.340489485,Empetrum nigrum,1.025305865
1.340489485,Fagus sylvatica,1.378397901
1.340489485,Festuca ovina,1.068185862
1.340489485,Festuca rubra,1.206825876
1.340489485,hippophae rhamnoides,1.482873584
1.340489485,Holcus lanatus,1.432969291
1.340489485,Ilex aquifolium,1.170261715
1.340489485,Larix decidua,1.352182518
1.340489485,Lolium perenne,1.514547753
1.340489485,Lotus corniculatus,1.431363764
1.340489485,Picea sitchensis,1.120573931
1.340489485,Pinus sylvestris,1.198657087
1.340489485,Plantago lanceolata,1.311753861
1.340489485,Poa annua,1.58546073
1.340489485,Prunus spinosa,1.481442629
1.340489485,Quercus ilex,1.31386722
1.340489485,Quercus petraea,1.409933123
1.340489485,Ribes uva-crispa,1.350248018
1.340489485,Rubus fruticosus,1.401400541
1.340489485,Rumex acetosella,1.472756449
1.340489485,Rumex acetosella,1.472756449
1.340489485,Salix caprea,1.431363764
1.340489485,Sambucus nigra,1.522444234
1.340489485,Sorbus aucuparia,1.403120521
1.340489485,Swida sanguinea,1.328379603
1.340489485,Taxus baccata,1.336459734
1.340489485,Tilia cordata,1.404833717
1.340489485,Urtica dioica,1.629409599
1.340489485,Vaccinium myrtillus,1.23299611
1.340489485,Vaccinium vitis-idaea,1.033423755
1.298985011,Betula pendula,1.483587297
1.298985011,Betula pendula,1.401974625
1.298985011,Betula pendula,1.430290106
1.298985011,Picea sitchensis,1.115610512
1.298985011,Picea sitchensis,1.115610512
1.298985011,Picea sitchensis,1.122215878
1.298985011,Pinus sylvestris,1.183744223
1.298985011,Pinus sylvestris,1.223582462
1.298985011,Pinus sylvestris,1.108339475
1.298985011,Pinus sylvestris,1.15330662
1.298985011,Pinus sylvestris,1.247154615
1.298985011,Pinus sylvestris,1.26245109
1.298985011,Prunus spinosa,1.46686762
1.298985011,Prunus spinosa,1.481920138
1.298985011,Prunus spinosa,1.496468369
1.298985011,Quercus cerris,1.437221902
1.298985011,Quercus cerris,1.437221902
1.298985011,Quercus ilex,1.370142847
1.298985011,Quercus ilex,1.370142847
1.298985011,Quercus ilex,1.247154615
1.298985011,Quercus petraea,1.485721426
1.298985011,Quercus petraea,1.366111523
1.298985011,Quercus petraea,1.324282455
1.298985011,Quercus petraea,1.444044796
1.298985011,Quercus robur,1.478566496
1.298985011,Quercus robur,1.436162647
1.298985011,Quercus rubra,1.354748519
1.298985011,Ribes uva-crispa,1.364081741
1.298985011,Ribes uva-crispa,1.335123442
1.298985011,Robinia pseudoacacia,1.472756449
1.298985011,Rubus fruticosus,1.458637849
1.298985011,Rubus fruticosus,1.444565221
1.298985011,Rubus fruticosus,1.277227081
1.298985011,Salix caprea,1.472756449
1.298985011,Salix caprea,1.364238216
1.298985011,Salix caprea,1.431721061
1.298985011,Salix caprea,1.450762156
1.298985011,Sambucus nigra,1.515432263
1.298985011,Sambucus nigra,1.503790683
1.298985011,Sambucus nigra,1.559108289
1.298985011,Sambucus nigra,1.52179165
1.298985011,Sambucus nigra,1.506505032
1.298985011,Sorbus aucuparia,1.27338714
1.298985011,Sorbus aucuparia,1.425968732
1.298985011,Sorbus aucuparia,1.459392488
1.298985011,Sorbus aucuparia,1.428674626
1.298985011,Taxus baccata,1.210407706
1.298985011,Taxus baccata,1.321529391
1.298985011,Taxus baccata,1.333783026
1.298985011,Taxus baccata,1.399096586
1.298985011,Taxus baccata,1.322219295
1.298985011,Taxus baccata,1.407107515
1.298985011,Vaccinium myrtillus,1.244689361
1.298985011,Vaccinium myrtillus,1.220108088
