log_leafNP_sitemean,Species,log_leafNP
0.908086575,Fagus sylvatica,1.014240439
0.908086575,Pinus nigra,0.767685817
0.908086575,Pinus nigra,0.767685817
0.908086575,Pinus sylvestris,0.851258349
0.908086575,Pinus sylvestris,0.851258349
0.908086575,Quercus faginea,0.918641835
0.908086575,Quercus faginea,0.918641835
0.908086575,Quercus ilex,0.956774846
0.908086575,Quercus ilex,0.956774846
0.908086575,Quercus robur,0.992995098
0.908086575,Quercus robur,0.992995098
1.134166415,Fraxinus excelsior,1.11058971
1.134166415,Acer platanoides,1.156851901
1.134166415,Acer pseudoplatanus,1.205745541
1.134166415,Alnus glutinosa,1.232742063
1.134166415,Calluna vulgaris,1.182699903
1.134166415,Castanea sativa,1.220631019
1.134166415,Corylus avellana,1.154728207
1.134166415,Crataegus monogyna,1.149219113
1.134166415,Empetrum nigrum,1.089905111
1.134166415,Fagus sylvatica,1.244277121
1.134166415,hippophae rhamnoides,1.310055738
1.134166415,Ilex aquifolium,1.098643726
1.134166415,Larix decidua,1.117271296
1.134166415,Picea sitchensis,1.033021445
1.134166415,Pinus sylvestris,0.933487288
1.134166415,Prunus spinosa,1.153509989
1.134166415,Quercus cerris,1.23325001
1.134166415,Quercus ilex,1.117271296
1.134166415,Quercus petraea,1.260309946
1.134166415,Quercus robur,1.227372442
1.134166415,Ribes uva-crispa,1.087426457
1.134166415,Rubus fruticosus,1.136086097
1.134166415,Salix caprea,1.111598525
1.134166415,Sambucus nigra,1.136086097
1.134166415,Sorbus aucuparia,1.137670537
1.134166415,Swida sanguinea,1.139879086
1.134166415,Taxus baccata,1.047274867
1.134166415,Vaccinium myrtillus,1.241297387
1.134166415,Vaccinium vitis-idaea,1.063708559
1.087363855,Fraxinus excelsior,1.224533063
1.087363855,Acer platanoides,1.15624619
1.087363855,Acer pseudoplatanus,1.205475037
1.087363855,Agrostis capillaris,1.02489596
1.087363855,Alnus glutinosa,1.23299611
1.087363855,Anthoxanthum odoratum,1.133538908
1.087363855,Betula pendula,1.235275877
1.087363855,Calluna vulgaris,1.183554534
1.087363855,Carex flacca,1.118595365
1.087363855,Castanea sativa,1.221153322
1.087363855,Corylus avellana,1.155336037
1.087363855,Crataegus monogyna,1.148910993
1.087363855,Dactylis glomerata,0.938519725
1.087363855,Deschampsia flexuosa,0.938019097
1.087363855,Empetrum nigrum,1.13893394
1.087363855,Empetrum nigrum,1.13893394
1.087363855,Fagus sylvatica,1.244771761
1.087363855,Festuca ovina,1.113943352
1.087363855,Festuca rubra,0.864511081
1.087363855,hippophae rhamnoides,1.309630167
1.087363855,Holcus lanatus,0.914343157
1.087363855,Ilex aquifolium,1.165837625
1.087363855,Larix decidua,1.116607744
1.087363855,Lolium perenne,0.870988814
1.087363855,Lotus corniculatus,1.317436497
1.087363855,Picea sitchensis,1.099335278
1.087363855,Pinus sylvestris,0.997386384
1.087363855,Plantago lanceolata,0.969415912
1.087363855,Poa annua,0.932473765
1.087363855,Prunus spinosa,1.1532049
1.087363855,Quercus ilex,1.078456818
1.087363855,Quercus petraea,1.260786669
1.087363855,Ribes uva-crispa,1.087781418
1.087363855,Rubus fruticosus,1.136720567
1.087363855,Rumex acetosella,1.010299957
1.087363855,Rumex acetosella,1.010299957
1.087363855,Salix caprea,1.111262514
1.087363855,Sambucus nigra,1.136720567
1.087363855,Sorbus aucuparia,1.138302698
1.087363855,Swida sanguinea,1.14082218
1.087363855,Taxus baccata,1.108565024
1.087363855,Tilia cordata,1.035429738
1.087363855,Urtica dioica,0.921686475
1.087363855,Vaccinium myrtillus,1.241795431
1.087363855,Vaccinium vitis-idaea,1.141449773
1.142200885,Betula pendula,1.263479209
1.142200885,Betula pendula,1.16728865
1.142200885,Betula pendula,1.278001762
1.142200885,Picea sitchensis,1.032825141
1.142200885,Picea sitchensis,1.032825141
1.142200885,Picea sitchensis,1.170392843
1.142200885,Pinus sylvestris,1.105771028
1.142200885,Pinus sylvestris,1.110754115
1.142200885,Pinus sylvestris,1.035232378
1.142200885,Pinus sylvestris,0.873031845
