data1,,,data2,
trait,range,,,
range_n_norm,0.286872045,,,
range_p_norm,0.51180766,,,
range_np_norm,0.855705634,,,
range_n_norm,0.718820227,,,
range_p_norm,0.531758829,,,
range_np_norm,0.845088406,,,
range_n_norm,0.2130685,,,
range_p_norm,0.229056363,,,
range_np_norm,0.177284552,,,
range_n_norm,0.533191836,,,
range_p_norm,0.53887401,,,
range_np_norm,0.827384011,,,
range_n_norm,0.447544583,,,
range_p_norm,0.370254865,,,
range_np_norm,0.332021184,,,
range_n_norm,0.261135633,,,
range_p_norm,0.206554886,,,
range_np_norm,0.170858029,,,
range_n_norm,0.261135633,,,
range_p_norm,0.206554886,,,
range_np_norm,0.170858029,,,
range_n_norm,0.358897373,,,
range_p_norm,0.205437575,,,
range_np_norm,0.442151533,,,
range_n_norm,0.358897373,,,
range_p_norm,0.205437575,,,
range_np_norm,0.442151533,,,
range_n_norm,0.636465884,,,
range_p_norm,0.650285148,,,
range_np_norm,0.165477538,,,
range_n_norm,0.721362025,,,
range_p_norm,0.675095052,,,
range_np_norm,0.435651451,,,
range_n_norm,0.081764873,,,
range_p_norm,0.149011454,,,
range_np_norm,0.048025798,,,
range_n_norm,0.325243846,,,
range_p_norm,0.355685198,,,
range_np_norm,0.136785761,,,
range_n_norm,0.365172642,,,
range_p_norm,0.480857392,,,
range_np_norm,0.434726784,,,
range_n_norm,0.21406634,,,
range_p_norm,0.198711166,,,
range_np_norm,0.049544594,,,
range_n_norm,0.21406634,,,
range_p_norm,0.198711166,,,
range_np_norm,0.049544594,,,
range_n_norm,0.425404897,,,
range_p_norm,0.463882294,,,
range_np_norm,0.506936059,,,
range_n_norm,0.123745066,,,
range_p_norm,0.21088131,,,
range_np_norm,0.163889108,,,
range_n_norm,0.261135633,,,
range_p_norm,0.206554886,,,
range_np_norm,0.170858029,,,
range_n_norm,0.081174195,,,
range_p_norm,0.288232284,,,
range_np_norm,0.211815876,,,
range_n_norm,0.244008454,,,
range_p_norm,0.482348052,,,
range_np_norm,0.203111969,,,
range_n_norm,0.081646737,,,
range_p_norm,0.147893665,,,
range_np_norm,0.047646098,,,
range_n_norm,0.134688056,,,
range_p_norm,0.152314449,,,
range_np_norm,0.102049747,,,
range_n_norm,0.134688056,,,
range_p_norm,0.152314449,,,
range_np_norm,0.102049747,,,
range_n_norm,0.236136969,,,
range_p_norm,0.43888641,,,
range_np_norm,0.399497623,,,
range_n_norm,0.306129222,,,
range_p_norm,0.165865204,,,
range_np_norm,0.157668009,,,
range_n_norm,0.508113865,,,
range_p_norm,0.736102077,,,
range_np_norm,0.451340303,,,
