Species,slope_n,ci_slope_n,N
Acer saccharum,0.575686718,0.262130242,51
Artemisia scoparia,1.563406201,0.698264518,106
Betula pendula,2.345072035,0.849406428,50
Caragana rosea,2.339608553,0.432787677,52
Carex flacca,0.590921943,1.151549686,69
Corylus heterophylla,0.850459263,0.203904651,81
Dicranopteris dichotoma,0.909716771,0.656596528,53
Eschweilera coriacea,0.359561617,0.343347935,60
Euonymus alatus,1.141184476,0.263692048,51
Fagus sylvatica,0.685874281,0.83867388,1612
Fraxinus excelsior,0.294047123,0.366359563,50
Larix decidua,0.785189969,0.625792279,69
Lespedeza bicolor,0.895335865,0.240654028,116
Loropetalum chinense,0.434089292,0.337908455,75
Mangifera indica,2.388030222,1.613202087,86
Molinia caerulea,0.253515764,0.430546672,67
Picea abies,1.473231128,1.240634739,6441
Picea sitchensis,1.713473483,2.676851906,184
Pinus sylvestris,0.139525514,0.409714606,6902
Pseudotsuga menziesii,1.608487711,0.591479833,213
Quercus fabri,0.502373212,0.202652169,68
Quercus ilex,1.190487222,1.117939104,923
Quercus petraea,0.115316065,2.6246624,526
Quercus robur,0.771848859,0.47576968,635
Rhodomyrtus tomentosa,0.359067443,0.394695706,56
Rubus crataegifolius,1.33739893,0.296208423,60
Vaccinium bracteatum,0.834775244,0.400211656,61
Vitex negundo,0.669125506,1.342263062,125
