Species,slope_p,ci_slope_p,N
Acer saccharum,1.726768178,0.259804274,51
Artemisia scoparia,1.791944355,0.982791903,106
Betula pendula,1.675516429,0.453063283,50
Caragana rosea,1.23709643,0.408649925,52
Carex flacca,0.841597658,0.54972894,69
Corylus heterophylla,0.927346836,0.31295252,81
Dicranopteris dichotoma,0.933224822,0.357097579,53
Eschweilera coriacea,0.679167847,0.194665195,60
Euonymus alatus,0.989328595,0.305757132,51
Fagus sylvatica,1.132038731,0.316037428,1612
Fraxinus excelsior,0.136127937,1.08069062,50
Larix decidua,1.306289271,1.292226908,69
Lespedeza bicolor,0.900474519,0.196649512,116
Loropetalum chinense,0.644112547,0.545602968,75
Mangifera indica,0.932650973,0.919188581,86
Molinia caerulea,1.130077896,0.495833285,67
Picea abies,1.236049205,0.575228605,6441
Picea sitchensis,0.359877826,0.485482277,184
Pinus sylvestris,0.365841496,0.642907066,6902
Pseudotsuga menziesii,0.834356423,0.847263081,213
Quercus fabri,0.619673768,0.317019376,68
Quercus ilex,0.188798561,0.15843924,923
Quercus petraea,-0.005558969,0.474528442,526
Quercus robur,1.048096408,0.378240235,635
Rhodomyrtus tomentosa,0.889182445,0.618188893,56
Rubus crataegifolius,1.430955337,0.30870338,60
Vaccinium bracteatum,1.946990239,0.870768987,61
Vitex negundo,1.379790172,0.646708922,125
