Species,slope_np,ci_slope_np,N
Acer saccharum,3.044069406,1.36252678,51
Artemisia scoparia,1.194949255,1.02403829,106
Betula pendula,1.434957059,0.538336253,50
Caragana rosea,1.164750266,0.292979164,52
Carex flacca,0.653937244,0.531348939,69
Corylus heterophylla,0.969893159,0.296224192,81
Dicranopteris dichotoma,0.834138077,0.282578182,53
Eschweilera coriacea,0.764440161,0.149959977,60
Euonymus alatus,1.121562287,0.387701369,51
Fagus sylvatica,1.024773955,0.219972698,1612
Fraxinus excelsior,0.420593647,1.787593524,50
Larix decidua,1.475885017,0.531688788,69
Lespedeza bicolor,0.556117338,0.168555241,116
Loropetalum chinense,1.44608377,0.398833543,75
Mangifera indica,0.529047526,0.476701231,86
Molinia caerulea,1.251223394,0.234197179,67
Picea abies,1.047425364,0.321471517,6441
Picea sitchensis,1.123959884,0.609387263,184
Pinus sylvestris,0.517677538,0.586538793,6902
Pseudotsuga menziesii,1.857907988,0.584823958,213
Quercus fabri,0.719562116,0.340191087,68
Quercus ilex,0.597667216,0.258353902,923
Quercus petraea,-0.094882766,3.128322621,526
Quercus robur,1.108102917,0.283671239,635
Rhodomyrtus tomentosa,1.238875058,0.480674797,56
Rubus crataegifolius,1.138640922,0.346206484,60
Vaccinium bracteatum,1.362593866,0.514173322,61
Vitex negundo,0.66202354,0.484707195,125
