range_n,range_p
6.416440942,1.465409091
16.07778667,1.522533333
4.765683766,0.655834805
11.92585333,1.542905539
10.01018901,1.060114742
5.840796966,0.591408513
5.840796966,0.591408513
8.027424917,0.588209425
8.027424917,0.588209425
14.23577457,1.861898213
16.13463883,1.932933998
1.828827471,0.426650002
7.274699529,1.01839883
8.167783297,1.376792199
4.788002364,0.568950355
4.788002364,0.568950355
9.514992661,1.328189053
2.767794644,0.603795942
5.840796966,0.591408513
1.815615845,0.825267463
5.457714913,1.381060259
1.826185146,0.423449546
3.012555506,0.436107145
3.012555506,0.436107145
5.281654109,1.256620768
6.847164485,0.474905705
11.36493663,2.107609479
11.36493663,2.107609479
8.531776772,1.242571826
12.03980698,1.721284225
1.820900495,0.417048635
6.754569048,1.281862918
7.034488095,2.556131439
16.82741319,2.226844552
23.5727418,2.438698842
8.160841277,1.22487462
11.91414224,1.946641026
14.02845917,2.45095
16.55603619,1.302542898
22.32328475,2.30089479
13.27473564,3.212774188
13.22611384,2.11285641
10.6763739,3.061908813
12.7666375,1.946641026
14.0571748,2.369277916
12.64733498,2.528676212
19.69834505,2.137627227
5.943997872,0.530936
5.943997872,0.530936
8.380525598,1.600314583
8.210933063,0.877648479
9.21156746,1.322993038
9.21156746,1.322993038
9.057212885,0.84012605
10.46862553,1.898409387
9.839796043,0.838610213
5.894590336,1.158560924
8.635090909,0.946062641
10.12312397,0.347304738
10.12179063,0.450019284
10.1204573,0.456358678
10.13512397,0.459958678
10.1204573,0.449025344
5.586827807,1.083996863
2.406914522,1.097548036
0.349661797,0.11986235
0.349661797,0.11986235
1.993078512,0.376423862
1.993078512,0.376423862
4.406415087,1.513239256
6.931925625,1.090815952
10.7869835,1.278494726
10.7869835,1.278494726
5.980438467,0.228763514
7.296812923,0.57788163
4.638550745,0.086346543
16.71486073,1.391645996
4.997355339,0.231756357
2.956844211,0.408149766
12.0817483,1.064849994
14.36083627,1.238790864
7.280793328,0.560379521
11.44142719,0.995851797
11.44142719,0.995851797
15.67414206,0.700899382
10.18162957,0.177851626
2.398180329,0.946026107
6.942910832,1.471063916
1.710818247,0.277006298
7.874772152,0.383570997
10.36687744,0.920438838
10.36687744,0.920438838
11.06745453,0.523351782
15.67414206,1.066515358
6.748977876,0.564782086
6.748977876,0.564782086
11.22534029,1.410969907
11.22534029,1.410969907
7.571785034,1.356377458
11.03452911,0.391761459
7.131637886,0.520305814
10.92253652,0.324079057
5.798636039,0.405803529
4.632634752,0.859031751
2.962290165,0.482546701
5.202356536,1.210939019
5.743083581,0.355031923
5.743083581,0.355031923
3.595749226,0.506062713
11.01940944,2.044526667
