sitename,year_start,year_end,lon,lat,elv
i_-0.008037_40.7627408_697,1990,2015,-0.008037,40.7627408,697
i_-0.021111_47.466111_87,1990,2015,-0.021111,47.466111,87
i_-0.0279583_40.9005277_718,1990,2015,-0.0279583,40.9005277,718
i_-0.028056_43.213611_408,1990,2015,-0.028056,43.213611,408
i_-0.04_43.15_464,1988,1988,-0.04,43.15,464
i_-0.0786565_42.4615455_947,1990,2015,-0.0786565,42.4615455,947
i_-0.096944_43.11_478,1990,2015,-0.096944,43.11,478
i_-0.2475661_43.933373_92,1990,2015,-0.2475661,43.933373,92
i_-0.2499596_42.3014041_1161,1990,2015,-0.2499596,42.3014041,1161
i_-0.2573527_39.8842126_306,1990,2015,-0.2573527,39.8842126,306
i_-0.2771063_42.4452198_1318,1990,2015,-0.2771063,42.4452198,1318
i_-0.287778_42.650833_1729,1990,2015,-0.287778,42.650833,1729
i_-0.3250505_42.7199596_1466,1990,2015,-0.3250505,42.7199596,1466
i_-0.4325833_41.0115417_637,1990,2015,-0.4325833,41.0115417,637
i_-0.496944_48.625_269,1990,2015,-0.496944,48.625,269
i_-0.5118116_40.2935048_1348,1990,2015,-0.5118116,40.2935048,1348
i_-0.5240193_42.7032802_1423,1990,2015,-0.5240193,42.7032802,1423
i_-0.5322512_40.4312971_1805,1990,2015,-0.5322512,40.4312971,1805
i_-0.5592391_40.5689179_1392,1990,2015,-0.5592391,40.5689179,1392
i_-0.565_54.288889_197,1990,2015,-0.565,54.288889,197
i_-0.566099_38.2836981_35,1990,2015,-0.566099,38.2836981,35
i_-0.621389_38.529722_593,1990,2015,-0.621389,38.529722,593
i_-0.648056_43.160278_251,1990,2015,-0.648056,43.160278,251
i_-0.6489179_41.1323261_624,1990,2015,-0.6489179,41.1323261,624
i_-0.6578657_39.9947038_1017,1990,2015,-0.6578657,39.9947038,1017
i_-0.6784783_40.1324975_835,1990,2015,-0.6784783,40.1324975,835
i_-0.6951449_42.5489927_727,1990,2015,-0.6951449,42.5489927,727
i_-0.69925_40.2766667_1291,1990,2015,-0.69925,40.2766667,1291
i_-0.7099116_39.1298586_193,1990,2015,-0.7099116,39.1298586,193
i_-0.7264203_40.4142875_1540,1990,2015,-0.7264203,40.4142875,1540
i_-0.7401641_51.6102778_109,1990,2015,-0.7401641,51.6102778,109
i_-0.7405555_54.3268435_179,1990,2015,-0.7405555,54.3268435,179
i_-0.7662593_42.9673658_1746,1990,2015,-0.7662593,42.9673658,1746
i_-0.7958241_40.8336898_881,1990,2015,-0.7958241,40.8336898,881
i_-0.8234656_52.1605556_115,1990,2015,-0.8234656,52.1605556,115
i_-0.8238472_39.8333473_896,1990,2015,-0.8238472,39.8333473,896
i_-0.8239646_51.1604545_83,1990,2015,-0.8239646,51.1604545,83
i_-0.832222_43.748611_57,1990,2015,-0.832222,43.748611,57
i_-0.8442929_42.2510606_717,1990,2015,-0.8442929,42.2510606,717
i_-0.8448019_39.9775242_1445,1990,2015,-0.8448019,39.9775242,1445
i_-0.846389_49.1925_108,1990,2015,-0.846389,49.1925,108
i_-0.853056_51.125_75,1990,2015,-0.853056,51.125,75
i_-0.856833333_51.02833333_97,1990,2015,-0.856833333,51.02833333,97
i_-0.863056_51.115_84,1990,2015,-0.863056,51.115,84
i_-0.865756_42.3947054_1064,1990,2015,-0.865756,42.3947054,1064
i_-0.8657677_40.1153233_1217,1990,2015,-0.8657677,40.1153233,1217
i_-0.8701_51.626_177,1990,2015,-0.8701,51.626,177
i_-0.8930833_40.2530972_1093,1990,2015,-0.8930833,40.2530972,1093
i_-0.89343_41.3965918_675,1990,2015,-0.89343,41.3965918,675
i_-0.9235354_54.1273485_61,1990,2015,-0.9235354,54.1273485,61
i_-0.9408565_39.3962454_784,1990,2015,-0.9408565,39.3962454,784
i_-0.9607826_38.3935048_648,1990,2015,-0.9607826,38.3935048,648
i_-0.965596_42.9500303_1286,1990,2015,-0.965596,42.9500303,1286
i_-0.9901667_38.5303738_739,1990,2015,-0.9901667,38.5303738,739
i_-0.9902513_51.5268387_106,1990,2015,-0.9902513,51.5268387,106
i_-0.9922295_41.9525942_611,1990,2015,-0.9922295,41.9525942,611
i_-1.0121482_40.9603426_1246,1990,2015,-1.0121482,40.9603426,1246
i_-1.0420606_42.2337071_540,1990,2015,-1.0420606,42.2337071,540
i_-1.0592361_40.0979583_1527,1990,2015,-1.0592361,40.0979583,1527
i_-1.0640505_42.3773535_818,1990,2015,-1.0640505,42.3773535,818
i_-1.067778_42.531389_741,1990,2015,-1.067778,42.531389,741
i_-1.0922295_42.5146304_623,1990,2015,-1.0922295,42.5146304,623
i_-1.096338_38.0933333_121,1990,2015,-1.096338,38.0933333,121
i_-1.1567172_50.9104167_68,1990,2015,-1.1567172,50.9104167,68
i_-1.1576944_40.6613703_1231,1990,2015,-1.1576944,40.6613703,1231
i_-1.1735859_53.1100379_138,1990,2015,-1.1735859,53.1100379,138
i_-1.2073942_53.5270768_50,1990,2015,-1.2073942,53.5270768,50
i_-1.224833333_51.12666667_114,1990,2015,-1.224833333,51.12666667,114
i_-1.2739815_54.3436111_303,1990,2015,-1.2739815,54.3436111,303
i_-1.2741898_40.2182222_1136,1990,2015,-1.2741898,40.2182222,1136
i_-1.2906852_42.4971018_855,1990,2015,-1.2906852,42.4971018,855
i_-1.2958309_40.3622295_1163,1990,2015,-1.2958309,40.3622295,1163
i_-1.3121482_39.3611991_517,1990,2015,-1.3121482,39.3611991,517
i_-1.3240185_40.4998426_1020,1990,2015,-1.3240185,40.4998426,1020
i_-1.335556_43.008889_1106,1990,2015,-1.335556,43.008889,1106
i_-1.338333_43.953611_49,1990,2015,-1.338333,43.953611,49
i_-1.3570238_51.3271561_155,1990,2015,-1.3570238,51.3271561,155
i_-1.4243611_41.0627408_872,1990,2015,-1.4243611,41.0627408,872
i_-1.4332802_40.062744_1370,1990,2015,-1.4332802,40.062744,1370
i_-1.4614629_40.2003565_1522,1990,2015,-1.4614629,40.2003565,1522
i_-1.4750505_41.3440202_1160,1990,2015,-1.4750505,41.3440202,1160
i_-1.48_42.93_706,1996,1996,-1.48,42.93,706
i_-1.4834398_40.3443611_1356,1990,2015,-1.4834398,40.3443611,1356
i_-1.49_53.41_122,1990,2015,-1.49,53.41,122
i_-1.4903426_38.1960741_526,1990,2015,-1.4903426,38.1960741,526
i_-1.5_53.4_99,1990,2015,-1.5,53.4,99
i_-1.5116343_42.6165092_902,1990,2015,-1.5116343,42.6165092,902
i_-1.5118116_40.4819831_1482,1990,2015,-1.5118116,40.4819831,1482
i_-1.523447_53.8937247_84,1990,2015,-1.523447,53.8937247,84
i_-1.523611_48.188056_81,1990,2015,-1.523611,48.188056,81
i_-1.5259028_39.4811204_679,1990,2015,-1.5259028,39.4811204,679
i_-1.5410303_48.2172121_98,1990,2015,-1.5410303,48.2172121,98
i_-1.544722_48.211111_85,1990,2015,-1.544722,48.211111,85
i_-1.5477083_39.6189074_649,1990,2015,-1.5477083,39.6189074,649
i_-1.55_6.55_325,2001,2001,-1.55,6.55,325
i_-1.5792_53.38162_100,1969,1974,-1.5792,53.38162,100
i_-1.5792_53.38162_250,1995,1995,-1.5792,53.38162,250
i_-1.5927475_43.034394_1005,1990,2015,-1.5927475,43.034394,1005
i_-1.5961739_37.7507077_710,1990,2015,-1.5961739,37.7507077,710
i_-1.5980604_39.9007077_1192,1990,2015,-1.5980604,39.9007077,1192
i_-1.63_38.27_325,1999,2001,-1.63,38.27,325
i_-1.6571582_50.8436966_46,1990,2015,-1.6571582,50.8436966,46
i_-1.6574074_51.3771826_161,1990,2015,-1.6574074,51.3771826,161
i_-1.670278_40.49_1653,1990,2015,-1.670278,40.49,1653
i_-1.673548_50.9435353_97,1990,2015,-1.673548,50.9435353,97
i_-1.6994213_40.4639398_1711,1990,2015,-1.6994213,40.4639398,1711
i_-1.7_42.05_313,1990,2015,-1.7,42.05,313
i_-1.7238492_53.3941137_325,1990,2015,-1.7238492,53.3941137,325
i_-1.7283009_40.6015555_1668,1990,2015,-1.7283009,40.6015555,1668
i_-1.7333069_42.7357804_705,1990,2015,-1.7333069,42.7357804,705
i_-1.746111_53.425_294,1990,2015,-1.746111,53.425,294
i_-1.7623194_39.744875_1000,1990,2015,-1.7623194,39.744875,1000
i_-1.7738478_38.7364421_889,1990,2015,-1.7738478,38.7364421,889
i_-1.7795151_40.8828485_1188,1990,2015,-1.7795151,40.8828485,1188
i_-1.78_43.32_100,1989,1989,-1.78,43.32,100
i_-1.791389_47.55_50,1990,2015,-1.791389,47.55,50
i_-1.7922389_43.0163723_697,1990,2015,-1.7922389,43.0163723,697
i_-1.8133472_40.0266667_1127,1990,2015,-1.8133472,40.0266667,1127
i_-1.815413_43.1534517_576,1990,2015,-1.815413,43.1534517,576
i_-1.8286435_38.0153102_835,1990,2015,-1.8286435,38.0153102,835
i_-1.842058_40.1642875_1464,1990,2015,-1.842058,40.1642875,1464
i_-1.8645463_40.3018982_1529,1990,2015,-1.8645463,40.3018982,1529
i_-1.8832802_41.4452198_835,1990,2015,-1.8832802,41.4452198,835
i_-1.8935972_40.4457315_1603,1990,2015,-1.8935972,40.4457315,1603
i_-1.908889_51.608889_93,1990,2015,-1.908889,51.608889,93
i_-1.9233333_54.6601709_277,1990,2015,-1.9233333,54.6601709,277
i_-1.9485648_39.7266667_1016,1990,2015,-1.9485648,39.7266667,1016
i_-1.9774493_39.8642875_1121,1990,2015,-1.9774493,39.8642875,1121
i_-1.9973657_41.0020694_1217,1990,2015,-1.9973657,41.0020694,1217
i_-105.34_29.28_1289,1998,2000,-105.34,29.28,1289
i_-111.48814_35.17687_2009,2009,2009,-111.48814,35.17687,2009
i_-111.5404017_35.18259349_2057,2009,2009,-111.5404017,35.18259349,2057
i_-111.553_35.188_2086,2009,2009,-111.553,35.188,2086
i_-111.62_35.2_2124,2009,2009,-111.62,35.2,2124
i_-111.623519_35.25562797_2353,2009,2009,-111.623519,35.25562797,2353
i_-111.6241957_35.28223324_2449,2009,2009,-111.6241957,35.28223324,2449
